iter	RMSE	MAP:top=5
379	0.7175036857	0.6900565561
380	0.7174222551	0.6903679618
381	0.717380883	0.6903034851
382	0.7172909905	0.6904456395
383	0.7172278123	0.6907624646
384	0.7171535606	0.690460647
385	0.7170579143	0.6904093714
386	0.7169964002	0.691391946
387	0.7169316327	0.6912989828
388	0.7168344084	0.6915949641
389	0.7167442896	0.6916283142
390	0.7166957575	0.6918751042
391	0.7166352317	0.6916317881
392	0.7165562395	0.6924384414
393	0.71645864	0.6923559002
394	0.7163558829	0.6927431771
395	0.7162990564	0.6931350397
396	0.7162399458	0.6933784948
397	0.7161587158	0.6933174921
398	0.7160929723	0.6934142071
399	0.7160421548	0.6937397866
400	0.7159825277	0.6935986049
401	0.7159490063	0.6936336224
402	0.7158613967	0.6938037074
403	0.7157983644	0.6932671892
404	0.7157278443	0.6937390918
405	0.7156864098	0.6938107943
406	0.7156322024	0.6941526319
407	0.7155569561	0.6944544494
408	0.7154409116	0.6943160469
409	0.715380929	0.6945240676
410	0.7153141667	0.6946345395
411	0.7152526059	0.6944006726
412	0.7151797718	0.6943002057
413	0.7150882266	0.6941472125
414	0.7150519502	0.6941947363
415	0.7149895522	0.6951222834
416	0.714923288	0.6951110277
417	0.714863272	0.6951227002
418	0.7147983392	0.6949959702
419	0.7147347763	0.6946107776
420	0.714670053	0.6946403757
421	0.7145843854	0.6947751654
422	0.7145159885	0.6949481685
423	0.7144567321	0.6957185537
424	0.7143592292	0.6960320438
425	0.7143063592	0.6957018787
426	0.7141991812	0.6963163526
427	0.7141497292	0.6964433606
428	0.7140727592	0.6964825468
429	0.7140544846	0.6964825468
430	0.7139855333	0.6963333055
431	0.7138758325	0.6964091768
432	0.7137855462	0.6967843644
433	0.7137250322	0.6969711245
434	0.7136223398	0.6973212995
435	0.7135754687	0.6972879495
436	0.713530233	0.6975697571
437	0.7134612898	0.6975560002
438	0.7133923468	0.6975951865
439	0.7133367172	0.698020677
440	0.7132711878	0.6984483909
441	0.713211153	0.6983497304
442	0.7130894851	0.6980829304
443	0.7129835849	0.6983472292
444	0.7128830152	0.6983305542
445	0.7128222661	0.6982788617
446	0.7127690266	0.6984272692
447	0.7127085176	0.6987574343
448	0.712592128	0.6989076483
449	0.7125357495	0.6985387138
450	0.7124793444	0.6986537713
451	0.7124203701	0.6990322939
452	0.7123746506	0.6989639264
453	0.7122998872	0.6987721639
454	0.712252287	0.6988772164
455	0.7121664534	0.6989189039
456	0.7120784334	0.6990834306
457	0.7119767561	0.6996442666
458	0.7119247976	0.699772942
459	0.7118554363	0.699776277
460	0.7118020104	0.7000730921
461	0.7117245392	0.7001047746
462	0.7116476717	0.6998646545
463	0.7116010798	0.6998913346
464	0.7115379567	0.7002398421
465	0.7114724623	0.7004916347
466	0.7114183736	0.7013337224
467	0.711365299	0.7010535823
468	0.7113226444	0.7012178311
469	0.711279731	0.7008434773
470	0.7111957363	0.7008985048
471	0.711181436	0.7008985048
472	0.7110755057	0.7014062587
473	0.7109859208	0.7012428436
474	0.7108856735	0.7015142293
475	0.7108448693	0.7021745595
476	0.710785792	0.7020911845
477	0.7107845658	0.7020911845
478	0.7107148945	0.7018460619
479	0.7106442089	0.7018260519
480	0.7105365306	0.702016147
481	0.7104688814	0.702262937
482	0.7104111065	0.7024405258
483	0.7102915882	0.7026873159
484	0.7102064665	0.7022445945
485	0.7101552632	0.7024847146
486	0.7101083753	0.7028315547
487	0.7100494377	0.7031158635
488	0.7099857316	0.7028640709
489	0.709932997	0.7032870602
490	0.709856482	0.7031553277
491	0.7098058964	0.7032253627
492	0.7097660406	0.7038106553
493	0.7096897849	0.7042114113
494	0.7096437238	0.7041263687
495	0.7095689513	0.7043514813
496	0.709496474	0.7042553221
497	0.7094411968	0.7045771497
498	0.7093782147	0.7042740815
499	0.7093120862	0.7052562392
500	0.7092266299	0.7047893391
